Timestamp,Gender,Age,District,Occupation,Educational background,Marital status,Monthly income,Type of bank you use for your mobile banking application,Source to know about the mobile banking application,Duration of using the mobile banking application,The preferred way to use the mobile banking application,Use of mobile application,Average amount of money  transfer during a month using the mobile banking application,Average total amount of money transfer during a month by going to the bank or ATM,Willing to use the mobile banking application to perform transactions with other banks,Willing to use the mobile banking application to do large transactions,Satisfied with the security measurements in your mobile banking application,Satisfied with the service charges related to the mobile banking application,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Which banks have better mobile banking applications
02/11/2020 21:57:39,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Private,From a friend,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts",Between 5000 to 10000,Between 1000 to 5000,Yes,No,Yes,Neutral,4,Not applicable
02/11/2020 21:57:47,Female,45 to 60,Matara,Public Sector,Diploma,Married,Between 50000 to 100000,Public,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts",Between 1000 to 5000,Between 10000 to 50000,Yes,Yes,Yes,Yes,4,Government banks
02/11/2020 22:02:10,Male,16 to 25,Matara,Student,O/L,Single,Not applicable,Both,From a friend,Less than 6 months,Mobile app,"Pay bills, Check bank balance",Between 1000 to 5000,Between 5000 to 10000,Yes,Yes,Yes,Neutral,2,Private banks
02/11/2020 22:18:10,Male,45 to 60,Matara,Self-employed,A/L,Married,More than 100000,Public,From a friend,More than 1 year,Mobile app,Check bank balance,Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,Yes,5,Government banks
02/11/2020 22:29:06,Male,16 to 25,Galle,Unemployed,Diploma,Single,Not applicable,Private,From a friend,Less than 6 months,Mobile app,"Pay bills, Check bank balance",Less than 1000,Between 1000 to 5000,No,No,Yes,Neutral,3,Private banks
02/11/2020 22:33:22,Male,25 to 45,Gampaha,Self-employed,A/L,Married,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,More than 50000,Yes,Yes,Yes,Yes,4,Private banks
02/11/2020 23:02:11,Male,25 to 45,Colombo,Private Sector,A/L,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,Between 10000 to 50000,Yes,Yes,Yes,No,5,Private banks
02/11/2020 23:17:36,Male,25 to 45,Gampaha,Private Sector,Degree,Single,More than 100000,Both,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,Yes,4,Private banks
02/11/2020 23:57:12,Male,16 to 25,Colombo,Self-employed,A/L,Single,Less than 20000,Both,From a friend,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,Yes,Yes,Yes,4,Government banks
03/11/2020 06:17:52,Male,25 to 45,Galle,Private Sector,Degree,Single,Between 50000 to 100000,Both,Advertisement,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,Yes,4,Private banks
